,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,0,3.223.181.245,ba:69:f4:f0:3d:02,ba:69:f4,443,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,48002,6,4,0,0,1654700362239,1654700392486,30247,6,580,1654700362239,1654700392486,30247,4,356,1654700362251,1654700392251,30000,2,224,TLS.AmazonAWS,Cloud,1,2,,,,,
1,1,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,53764,52.44.104.119,ba:69:f4:f0:3d:02,ba:69:f4,80,6,4,0,0,1654700941027,1654700941027,0,1,114,1654700941027,1654700941027,0,1,114,0,0,0,0,0,HTTP.AmazonAWS,Cloud,0,4,,,,,
2,2,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,56015,54.237.20.249,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654700947428,1654700947428,0,1,99,1654700947428,1654700947428,0,1,99,0,0,0,0,0,TLS.AmazonAWS,Cloud,1,2,,,,,
3,3,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,24841,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654701066213,1654701066388,175,2,253,1654701066213,1654701066213,0,1,79,1654701066388,1654701066388,0,1,174,DNS.AmazonAlexa,VirtAssistant,0,4,api.amazonalexa.com,,,,
4,4,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,2612,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654701064923,1654701065112,189,2,164,1654701064923,1654701064923,0,1,74,1654701065112,1654701065112,0,1,90,DNS.Amazon,Web,0,4,api.amazon.com,,,,
5,5,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,35654,54.239.27.82,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654701065128,1654701066213,1085,20,8093,1654701065128,1654701066213,1085,11,2146,1654701065365,1654701066167,802,9,5947,TLS.Amazon,Web,0,4,api.amazon.com,bdf21e38e1f69776df407235625e75e2,699a80bdb17efe157c861f92c5bf5d1d,,
6,6,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,49791,13.227.255.11,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654701066393,1654701067032,639,27,8950,1654701066393,1654701067032,639,14,1978,1654701066416,1654701067025,609,13,6972,TLS.AmazonAlexa,VirtAssistant,0,4,api.amazonalexa.com,e46f2a8067ae28e46fa732fcb3a4f2e8,9567c957f3266d930f3376ffef9ece6a,,
7,7,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,68,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,67,17,4,0,0,1654701085223,1654701085225,2,2,684,1654701085223,1654701085223,0,1,342,1654701085225,1654701085225,0,1,342,DHCP,Network,0,4,amazon-bee4ce66c,"1,33,3,6,15,28,51,58,59",,,
8,8,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,48054,13.227.248.170,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654701089843,1654701090159,316,14,2983,1654701089843,1654701090159,316,7,1650,1654701089865,1654701090155,290,7,1333,TLS.AmazonAlexa,VirtAssistant,0,4,api.eu.amazonalexa.com,69415598724855f70b37da9f653ec421,ea615e28cb25adfb2f261151eab3314f,,
9,9,0,fe80::fea6:67ff:feb8:14c5,fc:a6:67:b8:14:c5,fc:a6:67,0,ff02::16,33:33:00:00:00:16,33:33:00,0,58,6,0,0,1654701085284,1654701085991,707,2,180,1654701085284,1654701085991,707,2,180,0,0,0,0,0,ICMPV6,Network,0,4,,,,,
10,10,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,60978,34.232.93.236,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654701140982,1654701145559,4577,23,5405,1654701140982,1654701145559,4577,12,4260,1654701141217,1654701145514,4297,11,1145,TLS.Amazon,Web,0,4,device-metrics-us.amazon.com,69415598724855f70b37da9f653ec421,ea615e28cb25adfb2f261151eab3314f,,
11,11,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39709,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654701148808,1654701148808,0,2,128,1654701148808,1654701148808,0,1,74,1654701148808,1654701148808,0,1,54,Unknown,Unspecified,0,0,,,,,
12,12,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39712,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654701148834,1654701148834,0,2,128,1654701148834,1654701148834,0,1,74,1654701148834,1654701148834,0,1,54,Unknown,Unspecified,0,0,,,,,
13,13,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39715,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654701148856,1654701148856,0,2,128,1654701148856,1654701148856,0,1,74,1654701148856,1654701148856,0,1,54,Unknown,Unspecified,0,0,,,,,
